Name,Vote Pts,1st Place,Share,Season
Eric Gagne,146.0,28.0,0.91,2003
Jason Schmidt,73.0,2.0,0.46,2003
Mark Prior,60.0,2.0,0.38,2003
Russ Ortiz,9.0,0.0,0.06,2003
Roger Clemens,140.0,23.0,0.88,2004
Randy Johnson,97.0,8.0,0.61,2004
Roy Oswalt,19.0,1.0,0.12,2004
Jason Schmidt,13.0,0.0,0.08,2004
Carlos Zambrano,8.0,0.0,0.05,2004
Carl Pavano,6.0,0.0,0.04,2004
Eric Gagne,3.0,0.0,0.02,2004
Brad Lidge,1.0,0.0,0.01,2004
Ben Sheets,1.0,0.0,0.01,2004
Chris Carpenter,132.0,19.0,0.83,2005
Dontrelle Willis,112.0,11.0,0.7,2005
Roger Clemens,40.0,2.0,0.25,2005
Roy Oswalt,2.0,0.0,0.01,2005
Chad Cordero,1.0,0.0,0.01,2005
Andy Pettitte,1.0,0.0,0.01,2005
Brandon Webb,103.0,15.0,0.64,2006
Trevor Hoffman,77.0,12.0,0.48,2006
Chris Carpenter,63.0,2.0,0.39,2006
Roy Oswalt,31.0,3.0,0.19,2006
Carlos Zambrano,6.0,0.0,0.04,2006
Billy Wagner,4.0,0.0,0.03,2006
John Smoltz,3.0,0.0,0.02,2006
Takashi Saito,1.0,0.0,0.01,2006
Jake Peavy,160.0,32.0,1.0,2007
Brandon Webb,94.0,0.0,0.59,2007
Brad Penny,14.0,0.0,0.09,2007
Aaron Harang,10.0,0.0,0.06,2007
Carlos Zambrano,3.0,0.0,0.02,2007
Cole Hamels,2.0,0.0,0.01,2007
John Smoltz,2.0,0.0,0.01,2007
Jose Valverde,2.0,0.0,0.01,2007
Jeff Francis,1.0,0.0,0.01,2007
Tim Lincecum,137.0,23.0,0.86,2008
Brandon Webb,73.0,4.0,0.46,2008
Johan Santana,55.0,4.0,0.34,2008
Brad Lidge,10.0,0.0,0.06,2008
CC Sabathia,9.0,1.0,0.06,2008
Ryan Dempster,4.0,0.0,0.03,2008
Tim Lincecum,100.0,11.0,0.63,2009
Chris Carpenter,94.0,9.0,0.59,2009
Adam Wainwright,90.0,12.0,0.56,2009
Javier Vazquez,3.0,0.0,0.02,2009
Dan Haren,1.0,0.0,0.01,2009
Roy Halladay,224.0,32.0,1.0,2010
Adam Wainwright,122.0,0.0,0.54,2010
Ubaldo Jiménez,90.0,0.0,0.4,2010
Tim Hudson,39.0,0.0,0.17,2010
Josh Johnson,34.0,0.0,0.15,2010
Roy Oswalt,14.0,0.0,0.06,2010
Brian Wilson,7.0,0.0,0.03,2010
Heath Bell,4.0,0.0,0.02,2010
Mat Latos,4.0,0.0,0.02,2010
Tim Lincecum,2.0,0.0,0.01,2010
Brett Myers,2.0,0.0,0.01,2010
Bronson Arroyo,1.0,0.0,0.0,2010
Matt Cain,1.0,0.0,0.0,2010
Clayton Kershaw,207.0,27.0,0.92,2011
Roy Halladay,133.0,4.0,0.59,2011
Cliff Lee,90.0,0.0,0.4,2011
Ian Kennedy,76.0,1.0,0.34,2011
Cole Hamels,17.0,0.0,0.08,2011
Tim Lincecum,7.0,0.0,0.03,2011
Yovani Gallardo,5.0,0.0,0.02,2011
Matt Cain,3.0,0.0,0.01,2011
John Axford,2.0,0.0,0.01,2011
Craig Kimbrel,2.0,0.0,0.01,2011
Madison Bumgarner,1.0,0.0,0.0,2011
Ryan Vogelsong,1.0,0.0,0.0,2011
R.A. Dickey,209.0,27.0,0.93,2012
Clayton Kershaw,96.0,2.0,0.43,2012
Gio Gonzalez,93.0,1.0,0.42,2012
Johnny Cueto,75.0,1.0,0.33,2012
Craig Kimbrel,41.0,1.0,0.18,2012
Matt Cain,22.0,0.0,0.1,2012
Kyle Lohse,6.0,0.0,0.03,2012
Aroldis Chapman,1.0,0.0,0.0,2012
Cole Hamels,1.0,0.0,0.0,2012
Clayton Kershaw,207.0,29.0,0.99,2013
Adam Wainwright,86.0,1.0,0.41,2013
José Fernández,62.0,0.0,0.3,2013
Matt Harvey,39.0,0.0,0.19,2013
Craig Kimbrel,39.0,0.0,0.19,2013
Cliff Lee,32.0,0.0,0.15,2013
Jordan Zimmermann,21.0,0.0,0.1,2013
Zack Greinke,19.0,0.0,0.09,2013
Madison Bumgarner,3.0,0.0,0.01,2013
Francisco Liriano,3.0,0.0,0.01,2013
Clayton Kershaw,210.0,30.0,1.0,2014
Johnny Cueto,112.0,0.0,0.53,2014
Adam Wainwright,97.0,0.0,0.46,2014
Madison Bumgarner,28.0,0.0,0.13,2014
Jordan Zimmermann,25.0,0.0,0.12,2014
Cole Hamels,17.0,0.0,0.08,2014
Zack Greinke,6.0,0.0,0.03,2014
Doug Fister,5.0,0.0,0.02,2014
Jake Arrieta,3.0,0.0,0.01,2014
Craig Kimbrel,3.0,0.0,0.01,2014
Stephen Strasburg,3.0,0.0,0.01,2014
Henderson Alvarez III,1.0,0.0,0.0,2014
Jake Arrieta,169.0,17.0,0.8,2015
Zack Greinke,147.0,10.0,0.7,2015
Clayton Kershaw,101.0,3.0,0.48,2015
Gerrit Cole,40.0,0.0,0.19,2015
Max Scherzer,32.0,0.0,0.15,2015
Madison Bumgarner,8.0,0.0,0.04,2015
Jacob deGrom,7.0,0.0,0.03,2015
Mark Melancon,5.0,0.0,0.02,2015
John Lackey,1.0,0.0,0.0,2015
Max Scherzer,192.0,25.0,0.91,2016
Jon Lester,102.0,1.0,0.49,2016
Kyle Hendricks,85.0,2.0,0.4,2016
Madison Bumgarner,46.0,0.0,0.22,2016
Clayton Kershaw,30.0,2.0,0.14,2016
Johnny Cueto,19.0,0.0,0.09,2016
José Fernández,18.0,0.0,0.09,2016
Noah Syndergaard,15.0,0.0,0.07,2016
Jake Arrieta,2.0,0.0,0.01,2016
Tanner Roark,1.0,0.0,0.0,2016
Max Scherzer,201.0,27.0,0.96,2017
Clayton Kershaw,126.0,3.0,0.6,2017
Stephen Strasburg,81.0,0.0,0.39,2017
Zack Greinke,52.0,0.0,0.25,2017
Kenley Jansen,22.0,0.0,0.1,2017
Gio Gonzalez,18.0,0.0,0.09,2017
Robbie Ray,6.0,0.0,0.03,2017
Jacob deGrom,2.0,0.0,0.01,2017
Jimmy Nelson,1.0,0.0,0.0,2017
Alex Wood,1.0,0.0,0.0,2017
Jacob deGrom,207.0,29.0,0.99,2018
Max Scherzer,123.0,1.0,0.59,2018
Aaron Nola,86.0,0.0,0.41,2018
Kyle Freeland,49.0,0.0,0.23,2018
Patrick Corbin,23.0,0.0,0.11,2018
Miles Mikolas,13.0,0.0,0.06,2018
Josh Hader,4.0,0.0,0.02,2018
Mike Foltynewicz,3.0,0.0,0.01,2018
Jon Lester,2.0,0.0,0.01,2018
Jacob deGrom,207.0,29.0,0.99,2019
Hyun Jin Ryu,88.0,1.0,0.42,2019
Max Scherzer,72.0,0.0,0.34,2019
Jack Flaherty,69.0,0.0,0.33,2019
Stephen Strasburg,53.0,0.0,0.25,2019
Michael Soroka,9.0,0.0,0.04,2019
Sonny Gray,4.0,0.0,0.02,2019
Clayton Kershaw,3.0,0.0,0.01,2019
Walker Buehler,2.0,0.0,0.01,2019
Kirby Yates,2.0,0.0,0.01,2019
Patrick Corbin,1.0,0.0,0.0,2019
Trevor Bauer,201.0,27.0,0.96,2020
Yu Darvish,123.0,3.0,0.59,2020
Jacob deGrom,89.0,0.0,0.42,2020
Dinelson Lamet,57.0,0.0,0.27,2020
Max Fried,15.0,0.0,0.07,2020
Corbin Burnes,12.0,0.0,0.06,2020
Aaron Nola,3.0,0.0,0.01,2020
Devin Williams,3.0,0.0,0.01,2020
Zac Gallen,2.0,0.0,0.01,2020
Kyle Hendricks,2.0,0.0,0.01,2020
Clayton Kershaw,2.0,0.0,0.01,2020
Zack Wheeler,1.0,0.0,0.0,2020
Corbin Burnes,151.0,12.0,0.72,2021
Zack Wheeler,141.0,12.0,0.67,2021
Max Scherzer,113.0,6.0,0.54,2021
Walker Buehler,70.0,0.0,0.33,2021
Brandon Woodruff,21.0,0.0,0.1,2021
Kevin Gausman,7.0,0.0,0.03,2021
Julio Urías,3.0,0.0,0.01,2021
Adam Wainwright,3.0,0.0,0.01,2021
Jacob deGrom,1.0,0.0,0.0,2021
Sandy Alcantara,210.0,30.0,1.0,2022
Max Fried,72.0,0.0,0.34,2022
Julio Urías,66.0,0.0,0.31,2022
Aaron Nola,48.0,0.0,0.23,2022
Zac Gallen,45.0,0.0,0.21,2022
Carlos Rodón,30.0,0.0,0.14,2022
Corbin Burnes,20.0,0.0,0.1,2022
Yu Darvish,7.0,0.0,0.03,2022
Edwin Díaz,6.0,0.0,0.03,2022
Kyle Wright,3.0,0.0,0.01,2022
Logan Webb,2.0,0.0,0.01,2022
Ryan Helsley,1.0,0.0,0.0,2022
